ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
13254,Delhi,Delhi,Delhi Suburban,Apartment,2,1210,312.61,25835.61,2007,Fully Furnished,21,26,17,2,4,High,None,Low,"Garden,CCTV,Power Backup,Gym,Visitor Parking,Swimming Pool",West,Builder,Ready to Move
13255,Telangana,Hyderabad,Hyderabad Suburban,Apartment,3,1485,230.0,15488.4,2008,Semi-Furnished,10,12,16,1,1,Medium,Single,Low,"Power Backup,Intercom,Club House",South-East,Owner,Resale
13256,Gujarat,Ahmedabad,Ahmedabad Prime,Apartment,4,2396,383.44,16003.29,2014,Fully Furnished,27,29,10,6,3,High,Single,Medium,"Swimming Pool,Gym,Lift,Intercom,Play Area,Garden,CCTV",South-East,Owner,Ready to Move
13257,Uttar Pradesh,Noida,Noida Rural,Penthouse,5,2096,216.38,10323.65,1991,Fully Furnished,1,10,33,7,2,Medium,Double,Low,"Power Backup,Garden,Gym,Club House",North-West,Owner,Ready to Move
13258,Delhi,Delhi,Delhi Suburban,Independent House,2,1403,408.56,29120.35,1999,Semi-Furnished,27,28,25,4,4,Medium,Single,High,"CCTV,Lift,Club House,Intercom,Garden,Swimming Pool,Power Backup",North-West,Owner,Ready to Move
13259,Maharashtra,Mumbai,Mumbai Suburban,Apartment,3,2100,520.2,24771.38,1995,Semi-Furnished,26,27,29,2,1,Medium,None,Medium,"Visitor Parking,CCTV,Lift,Club House,Garden",North,Owner,Resale
13260,Karnataka,Bangalore,Bangalore Outskirts,Independent House,2,1162,228.78,19688.44,1996,Semi-Furnished,27,31,28,3,5,Medium,None,Low,"Swimming Pool,Gym,Visitor Parking,Garden,Play Area,Club House",North-West,Builder,Resale
13261,Maharashtra,Mumbai,Mumbai Outskirts,Apartment,3,1431,369.39,25813.2,2013,Fully Furnished,8,15,11,5,1,Low,None,Medium,"Gym,Intercom,CCTV,Swimming Pool",South-West,Agent,Resale
13262,Uttar Pradesh,Lucknow,Lucknow Central,Apartment,1,707,59.79,8457.23,2018,Unfurnished,6,10,6,5,1,Medium,Single,High,"Garden,Swimming Pool,Club House,CCTV",North-East,Owner,Under Construction
13263,Maharashtra,Pune,Pune Central,Penthouse,3,1358,384.21,28292.53,2008,Fully Furnished,28,37,16,1,4,Medium,Single,Medium,,West,Builder,Under Construction
13264,Uttar Pradesh,Noida,Noida Central,Apartment,3,1488,198.87,13365.21,1997,Semi-Furnished,0,7,27,3,1,High,None,Low,"Visitor Parking,Power Backup,Gym,Swimming Pool,CCTV",South,Agent,Under Construction
13265,Uttar Pradesh,Lucknow,Lucknow Suburban,Independent House,2,1265,97.86,7736.05,1991,Semi-Furnished,13,16,33,6,2,Low,Double,Low,"Power Backup,Lift",North-West,Owner,Under Construction
13266,Maharashtra,Mumbai,Mumbai Central,Apartment,1,666,237.68,35687.38,1997,Unfurnished,16,19,27,4,0,Medium,Single,Medium,"Visitor Parking,Power Backup,Gym",North-West,Builder,Resale
13267,Maharashtra,Nagpur,Nagpur Outskirts,Apartment,3,1473,77.55,5264.9,2008,Unfurnished,16,25,16,1,5,Medium,None,Low,"Play Area,Gym,Garden",North-West,Owner,Ready to Move
13268,Telangana,Hyderabad,Hyderabad Rural,Independent House,2,1358,127.75,9407.21,2007,Semi-Furnished,23,27,17,3,4,High,Single,Medium,"Gym,Power Backup",West,Owner,Ready to Move
13269,Karnataka,Bangalore,Bangalore Suburban,Apartment,4,1788,414.46,23179.93,2022,Unfurnished,2,5,2,5,1,Medium,Double,Low,"Gym,Swimming Pool,Power Backup,Garden",East,Builder,Ready to Move
13270,Delhi,Delhi,Delhi Central,Apartment,3,1503,429.05,28546.15,2010,Fully Furnished,8,17,14,1,0,High,Single,High,"Intercom,Play Area",West,Owner,Resale
13271,Gujarat,Ahmedabad,Ahmedabad Rural,Studio,3,1637,87.81,5364.31,2018,Semi-Furnished,10,13,6,2,3,Medium,Single,Low,"Power Backup,Garden,Swimming Pool,Lift,CCTV,Visitor Parking,Gym",North-West,Builder,Ready to Move
13272,Rajasthan,Jaipur,Jaipur Suburban,Villa,3,1485,212.39,14302.41,2022,Fully Furnished,5,10,2,5,3,Medium,Double,Medium,"Power Backup,Garden,Swimming Pool,Visitor Parking,Gym,Lift,CCTV",South,Owner,Ready to Move
13273,Gujarat,Ahmedabad,Ahmedabad Central,Apartment,3,1572,177.97,11321.55,2005,Semi-Furnished,19,26,19,3,1,Low,Single,Low,Swimming Pool,South-East,Owner,Ready to Move
13274,Telangana,Hyderabad,Hyderabad Suburban,Penthouse,2,1186,258.15,21766.17,2020,Semi-Furnished,1,7,4,0,2,Medium,Double,High,"Visitor Parking,Intercom,Gym,Power Backup,CCTV",East,Owner,Ready to Move
13275,Uttar Pradesh,Noida,Noida Prime,Apartment,2,1129,200.07,17720.79,2001,Fully Furnished,3,11,23,3,2,Medium,Double,High,"CCTV,Club House,Visitor Parking,Lift",South-East,Agent,Under Construction
13276,Telangana,Hyderabad,Hyderabad Suburban,Independent House,3,1814,276.27,15230.08,1994,Semi-Furnished,21,25,30,5,2,Medium,None,Medium,"Visitor Parking,Intercom,CCTV,Swimming Pool,Gym",South,Builder,Ready to Move
13277,Maharashtra,Mumbai,Mumbai Central,Independent House,5,2456,839.1,34165.22,1999,Unfurnished,4,13,25,4,2,High,Double,High,,South-West,Builder,Under Construction
13278,Maharashtra,Mumbai,Mumbai Suburban,Apartment,2,969,274.95,28375.07,1994,Semi-Furnished,21,30,30,2,0,High,Double,Medium,"Gym,Play Area,Visitor Parking",North-West,Builder,Under Construction
13279,Maharashtra,Mumbai,Mumbai Central,Apartment,2,1384,509.02,36778.69,2018,Fully Furnished,9,15,6,1,1,Medium,None,Medium,"Club House,Intercom,Swimming Pool",East,Agent,Ready to Move
13280,Telangana,Hyderabad,Hyderabad Suburban,Villa,3,1634,298.4,18261.87,1991,Semi-Furnished,20,21,33,3,0,High,Single,Medium,,North,Owner,Ready to Move
13281,Maharashtra,Mumbai,Mumbai Rural,Independent House,3,1643,370.67,22560.52,2013,Fully Furnished,28,30,11,0,5,Medium,Double,Low,"Gym,Power Backup,Club House,Swimming Pool,Play Area,Garden",North-West,Builder,Resale
13282,Gujarat,Ahmedabad,Ahmedabad Suburban,Independent House,5,2294,266.62,11622.41,2007,Semi-Furnished,22,27,17,7,0,Low,Single,Medium,"Intercom,Play Area,Club House",North-East,Builder,Under Construction
13283,Karnataka,Bangalore,Bangalore Prime,Apartment,5,2408,790.55,32829.99,2016,Semi-Furnished,5,11,8,5,3,Medium,Double,Low,"CCTV,Swimming Pool,Garden,Club House,Play Area",East,Builder,Resale
13284,Maharashtra,Pune,Pune Suburban,Independent House,2,955,177.83,18620.77,2015,Unfurnished,3,8,9,0,2,Low,Single,High,,North-West,Agent,Resale
13285,Tamil Nadu,Chennai,Chennai Prime,Apartment,1,747,160.75,21518.8,2023,Semi-Furnished,2,8,1,5,0,Medium,Single,Medium,"Play Area,Garden",South-West,Agent,Resale
13286,Gujarat,Surat,Surat Rural,Studio,2,922,38.27,4150.8,2006,Semi-Furnished,7,14,18,5,4,Medium,Single,Medium,,South-East,Owner,Under Construction
13287,West Bengal,Kolkata,Kolkata Rural,Independent House,1,679,57.86,8520.88,2021,Semi-Furnished,17,19,3,5,0,High,Double,Low,Swimming Pool,South,Builder,Under Construction
13288,Maharashtra,Pune,Pune Central,Villa,4,1995,410.7,20586.44,2002,Semi-Furnished,22,27,22,0,4,Medium,Double,Medium,Visitor Parking,South,Builder,Ready to Move
13289,Delhi,Delhi,Delhi Central,Apartment,1,707,182.57,25822.79,1996,Semi-Furnished,15,16,28,4,0,Medium,Single,High,Garden,South-West,Builder,Under Construction
13290,Uttar Pradesh,Lucknow,Lucknow Suburban,Apartment,1,668,54.3,8128.36,1996,Fully Furnished,24,28,28,1,1,High,Double,Low,,East,Agent,Under Construction
13291,Uttar Pradesh,Noida,Noida Outskirts,Apartment,4,1988,223.05,11219.88,1991,Fully Furnished,3,7,33,5,2,High,Single,Low,"Club House,Visitor Parking,Intercom,Power Backup",South-East,Builder,Resale
13292,Karnataka,Bangalore,Bangalore Outskirts,Independent House,2,1316,260.07,19761.78,1999,Fully Furnished,16,19,25,6,2,High,Single,Medium,Club House,East,Builder,Ready to Move
13293,Karnataka,Bangalore,Bangalore Prime,Penthouse,3,1545,792.71,51307.8,2018,Fully Furnished,17,23,6,3,5,Medium,Single,High,"Lift,Gym,CCTV,Intercom,Play Area,Garden,Power Backup",South-West,Builder,Ready to Move
13294,Delhi,Delhi,Delhi Outskirts,Apartment,2,1142,256.39,22450.75,2011,Fully Furnished,6,14,13,0,5,Medium,None,Medium,"Power Backup,CCTV,Swimming Pool,Play Area,Lift,Gym",West,Builder,Ready to Move
13295,Delhi,Delhi,Delhi Central,Apartment,3,1541,475.67,30867.94,2007,Semi-Furnished,8,16,17,3,0,High,None,Medium,,North-East,Builder,Ready to Move
13296,Tamil Nadu,Chennai,Chennai Central,Independent House,3,1209,194.94,16123.96,1997,Semi-Furnished,24,28,27,1,4,Medium,Single,High,,West,Owner,Under Construction
13297,Rajasthan,Jaipur,Jaipur Rural,Apartment,2,1123,65.98,5874.91,2021,Unfurnished,25,32,3,0,4,High,None,High,Swimming Pool,South-East,Builder,Under Construction
13298,Maharashtra,Pune,Pune Suburban,Apartment,2,893,156.08,17477.69,2007,Semi-Furnished,11,17,17,1,2,Medium,Single,Medium,"Club House,CCTV,Swimming Pool,Gym,Power Backup,Visitor Parking",North-West,Builder,Ready to Move
13299,Rajasthan,Jaipur,Jaipur Suburban,Apartment,1,679,60.72,8942.19,2010,Semi-Furnished,13,20,14,1,3,Medium,Single,Low,"Gym,Garden,Swimming Pool",South-West,Owner,Resale
13300,West Bengal,Kolkata,Kolkata Suburban,Apartment,4,2429,243.66,10031.34,2015,Fully Furnished,1,7,9,1,1,Medium,Single,Medium,,West,Agent,Ready to Move
13301,Maharashtra,Mumbai,Mumbai Outskirts,Apartment,4,2040,486.05,23826.2,2003,Semi-Furnished,14,20,21,1,2,Medium,Double,Medium,"CCTV,Club House",North,Agent,Resale
13302,Maharashtra,Mumbai,Mumbai Prime,Studio,4,2054,698.31,33997.4,1990,Fully Furnished,1,5,34,6,0,Medium,Single,Medium,"Club House,CCTV,Lift,Swimming Pool,Garden",North-East,Builder,Ready to Move
13303,Maharashtra,Pune,Pune Suburban,Independent House,1,612,110.43,18043.74,1996,Fully Furnished,19,24,28,6,4,Medium,None,Low,"Power Backup,Lift,Gym,Garden",West,Builder,Ready to Move
13304,Maharashtra,Pune,Pune Outskirts,Apartment,5,2576,382.48,14847.76,2010,Semi-Furnished,21,27,14,5,5,High,Single,Medium,Power Backup,South-West,Agent,Resale
13305,Tamil Nadu,Chennai,Chennai Central,Independent House,3,1636,281.99,17236.39,1990,Semi-Furnished,19,25,34,5,2,Low,Double,Medium,"CCTV,Play Area",South,Owner,Ready to Move
13306,Rajasthan,Jaipur,Jaipur Rural,Independent House,2,1039,67.59,6505.6,2000,Semi-Furnished,23,26,24,1,0,Medium,Single,High,"Swimming Pool,Garden",North-West,Agent,Under Construction
13307,Tamil Nadu,Chennai,Chennai Outskirts,Penthouse,3,1747,274.1,15689.86,2007,Semi-Furnished,18,25,17,3,1,High,Double,Low,Garden,East,Builder,Ready to Move
13308,Tamil Nadu,Chennai,Chennai Prime,Studio,3,1492,258.25,17308.8,1997,Fully Furnished,21,26,27,4,1,Low,None,Low,"Power Backup,Play Area,Club House,Intercom,Gym,Garden,CCTV",North,Builder,Resale
13309,Maharashtra,Mumbai,Mumbai Prime,Villa,4,1810,953.26,52666.33,2010,Semi-Furnished,20,22,14,3,1,High,Single,Medium,"Swimming Pool,Play Area,Lift",North-East,Agent,Resale
13310,West Bengal,Kolkata,Kolkata Prime,Apartment,2,1129,176.13,15600.2,2018,Fully Furnished,20,29,6,4,2,High,None,Low,"Garden,Lift,Visitor Parking,Gym,Power Backup,Play Area",East,Builder,Under Construction
13311,Maharashtra,Mumbai,Mumbai Rural,Apartment,4,1459,271.38,18600.11,2013,Fully Furnished,0,6,11,0,3,Medium,Single,Medium,"Garden,CCTV,Club House,Gym,Play Area,Lift,Intercom",North-East,Owner,Ready to Move
13312,Gujarat,Ahmedabad,Ahmedabad Outskirts,Independent House,2,1171,110.79,9460.77,2023,Semi-Furnished,19,28,1,3,5,Medium,None,High,"Lift,Garden",North-West,Builder,Ready to Move
13313,Delhi,Delhi,Delhi Suburban,Apartment,2,863,214.74,24882.48,1994,Semi-Furnished,25,27,30,2,4,High,Single,Medium,"Play Area,Garden,Gym",South-West,Owner,Ready to Move
13314,Telangana,Hyderabad,Hyderabad Suburban,Apartment,2,1088,201.67,18535.5,2019,Semi-Furnished,14,16,5,4,5,High,None,Medium,"CCTV,Intercom,Lift,Swimming Pool,Garden,Club House",North-East,Agent,Under Construction
13315,Uttar Pradesh,Noida,Noida Outskirts,Apartment,2,1192,136.86,11481.83,2000,Semi-Furnished,22,23,24,3,2,High,Single,Medium,"Gym,Intercom",North-East,Owner,Resale
13316,Karnataka,Bangalore,Bangalore Suburban,Villa,5,1719,444.82,25876.41,1990,Fully Furnished,22,26,34,1,0,High,None,Medium,"Visitor Parking,Club House,Garden,Play Area",South,Owner,Ready to Move
13317,Maharashtra,Pune,Pune Suburban,Villa,3,1857,403.46,21726.38,1996,Semi-Furnished,14,21,28,3,5,Medium,Single,Medium,"Intercom,Club House,Lift,Gym,CCTV,Visitor Parking",South-East,Builder,Under Construction
13318,Uttar Pradesh,Lucknow,Lucknow Prime,Independent House,3,1598,184.79,11563.62,2002,Fully Furnished,21,26,22,0,1,Low,Single,Medium,"Lift,Gym,CCTV,Power Backup",South,Owner,Ready to Move
13319,Delhi,Delhi,Delhi Prime,Apartment,2,784,267.37,34102.89,2016,Semi-Furnished,6,12,8,7,3,Medium,Single,Medium,"Intercom,Club House,Garden,Play Area",South-West,Builder,Ready to Move
13320,Maharashtra,Nagpur,Nagpur Central,Apartment,4,1381,117.28,8492.38,2022,Semi-Furnished,11,13,2,6,2,High,Single,Medium,CCTV,North-East,Owner,Resale
13321,Uttar Pradesh,Noida,Noida Suburban,Apartment,3,1198,158.7,13247.08,2003,Fully Furnished,3,8,21,2,1,High,Single,High,"Gym,CCTV",West,Owner,Ready to Move
13322,Maharashtra,Mumbai,Mumbai Prime,Apartment,4,1873,882.5,47116.96,2002,Fully Furnished,20,21,22,2,1,High,Single,Medium,"CCTV,Play Area,Gym,Visitor Parking,Intercom,Club House,Garden",East,Builder,Resale
13323,Gujarat,Surat,Surat Suburban,Independent House,4,2258,235.22,10417.09,1990,Fully Furnished,28,36,34,5,3,High,Single,High,"Swimming Pool,Gym,CCTV,Power Backup",South-West,Agent,Under Construction
13324,Telangana,Hyderabad,Hyderabad Suburban,Apartment,2,1175,222.45,18932.31,2018,Fully Furnished,27,36,6,6,2,Medium,Single,Medium,"Visitor Parking,Lift,Play Area,Club House,Intercom",West,Builder,Ready to Move
13325,Maharashtra,Pune,Pune Outskirts,Apartment,3,1717,241.3,14053.37,2021,Semi-Furnished,7,8,3,0,2,Medium,Single,High,"Club House,Lift,Play Area",North-East,Owner,Ready to Move
13326,Delhi,Delhi,Delhi Outskirts,Apartment,2,917,175.79,19170.32,2004,Semi-Furnished,20,22,20,5,5,Low,None,Medium,"Intercom,Garden,Club House,Swimming Pool,Gym",North,Builder,Ready to Move
13327,Gujarat,Surat,Surat Outskirts,Villa,3,1760,139.27,7912.83,2003,Semi-Furnished,28,30,21,1,5,Low,Single,Medium,"Play Area,Power Backup,Lift,Club House,CCTV",South-East,Builder,Ready to Move
13328,Maharashtra,Mumbai,Mumbai Suburban,Independent House,2,1175,388.78,33087.64,1997,Semi-Furnished,17,26,27,5,0,High,None,Medium,"Play Area,Lift,Swimming Pool",North-East,Owner,Under Construction
13329,Delhi,Delhi,Delhi Suburban,Apartment,4,2555,799.36,31286.06,2004,Fully Furnished,7,11,20,5,0,Medium,Double,High,"Swimming Pool,CCTV,Club House,Gym,Visitor Parking,Garden",South-West,Owner,Ready to Move
13330,Tamil Nadu,Chennai,Chennai Suburban,Studio,3,1345,164.68,12244.01,2004,Unfurnished,1,8,20,1,2,Low,Single,Medium,"Garden,Lift,Gym,Club House,Power Backup,Visitor Parking,Swimming Pool",North-East,Builder,Resale
13331,Gujarat,Surat,Surat Suburban,Apartment,5,2459,228.97,9311.37,2011,Semi-Furnished,23,32,13,6,1,Medium,Single,High,"CCTV,Gym,Power Backup,Visitor Parking",West,Builder,Under Construction
13332,Uttar Pradesh,Lucknow,Lucknow Outskirts,Studio,2,1112,61.81,5558.69,2015,Unfurnished,11,12,9,1,5,Medium,Double,Medium,"Swimming Pool,CCTV,Visitor Parking,Garden,Lift,Intercom,Power Backup",West,Agent,Resale
13333,Gujarat,Surat,Surat Central,Apartment,4,2093,217.25,10379.84,2023,Unfurnished,28,33,1,3,3,Medium,Single,High,"CCTV,Play Area,Gym,Intercom",West,Agent,Under Construction
13334,Tamil Nadu,Chennai,Chennai Prime,Apartment,2,1117,199.13,17827.51,1994,Unfurnished,14,15,30,6,0,Medium,Double,Low,"CCTV,Intercom,Garden",South,Owner,Ready to Move
13335,Gujarat,Surat,Surat Rural,Independent House,2,1278,70.59,5523.19,1990,Semi-Furnished,12,14,34,5,1,Medium,Double,Low,"Gym,Lift,Club House,Visitor Parking,Play Area,Power Backup",West,Builder,Ready to Move
13336,Delhi,Delhi,Delhi Outskirts,Independent House,3,1260,296.27,23513.18,2007,Semi-Furnished,17,20,17,7,1,High,Single,Medium,"Lift,Power Backup,Swimming Pool",North-West,Owner,Resale
13337,Maharashtra,Mumbai,Mumbai Suburban,Penthouse,2,1118,518.95,46418.1,2003,Semi-Furnished,17,18,21,4,0,High,None,Medium,"Gym,CCTV,Club House,Power Backup,Swimming Pool",South-East,Owner,Under Construction
13338,Telangana,Hyderabad,Hyderabad Central,Apartment,4,2286,418.36,18300.85,2005,Fully Furnished,21,24,19,2,3,Medium,None,Medium,"Club House,CCTV,Swimming Pool",North-West,Builder,Ready to Move
13339,Telangana,Hyderabad,Hyderabad Outskirts,Apartment,2,984,117.12,11902.26,1993,Unfurnished,22,25,31,7,4,Medium,Single,Medium,"Play Area,Garden",South,Builder,Ready to Move
13340,Delhi,Delhi,Delhi Central,Apartment,5,2812,863.2,30697.15,2020,Fully Furnished,5,10,4,7,2,Medium,Single,Medium,,North,Agent,Resale
13341,Maharashtra,Mumbai,Mumbai Suburban,Apartment,5,2609,822.83,31538.18,2007,Semi-Furnished,29,37,17,2,3,High,Single,Medium,"Visitor Parking,Play Area,Intercom",North,Builder,Under Construction
13342,Uttar Pradesh,Ghaziabad,Ghaziabad Rural,Apartment,2,1045,65.88,6304.71,2005,Unfurnished,9,16,19,5,0,High,Double,Medium,,South-West,Builder,Under Construction
13343,Uttar Pradesh,Ghaziabad,Ghaziabad Suburban,Apartment,2,887,83.74,9440.79,2008,Semi-Furnished,8,13,16,0,3,Medium,Double,High,,South-West,Builder,Resale
13344,Uttar Pradesh,Noida,Noida Suburban,Studio,4,2063,288.14,13967.0,2022,Unfurnished,2,6,2,3,2,High,Double,High,"CCTV,Visitor Parking,Garden,Play Area,Club House,Power Backup,Lift",South-West,Agent,Under Construction
13345,Maharashtra,Nagpur,Nagpur Central,Independent House,2,1115,81.91,7346.16,2015,Semi-Furnished,7,12,9,2,1,Medium,Single,High,"Power Backup,Swimming Pool",North-West,Owner,Under Construction
13346,Uttar Pradesh,Noida,Noida Central,Apartment,2,858,125.22,14594.72,2015,Semi-Furnished,9,17,9,3,0,High,Single,Low,"Power Backup,Club House,Garden",South-West,Owner,Resale
13347,Delhi,Delhi,Delhi Suburban,Apartment,3,1437,304.0,21155.1,2007,Semi-Furnished,0,5,17,5,1,Low,Single,Medium,,East,Builder,Under Construction
13348,Maharashtra,Mumbai,Mumbai Rural,Villa,3,1217,285.05,23422.29,1998,Semi-Furnished,8,11,26,4,0,Medium,None,High,"Garden,CCTV,Swimming Pool,Intercom,Gym",South-West,Owner,Under Construction
13349,Tamil Nadu,Chennai,Chennai Outskirts,Independent House,5,1545,243.77,15778.25,2004,Semi-Furnished,29,38,20,3,2,High,Double,High,"Gym,Lift,CCTV,Intercom,Play Area,Power Backup,Club House",West,Builder,Ready to Move
13350,Tamil Nadu,Chennai,Chennai Central,Independent House,1,563,91.45,16244.23,2012,Unfurnished,18,19,12,6,3,Low,Single,Medium,"Garden,Power Backup,Lift,Gym",South,Agent,Ready to Move
13351,Maharashtra,Pune,Pune Outskirts,Independent House,3,1874,277.05,14783.99,1992,Semi-Furnished,23,32,32,3,5,Low,Single,Medium,"Lift,Visitor Parking,Swimming Pool,Gym",East,Agent,Ready to Move
13352,Uttar Pradesh,Noida,Noida Suburban,Apartment,1,741,106.43,14362.37,2019,Unfurnished,8,12,5,0,2,High,Double,Low,"Intercom,Club House,Power Backup,Lift,CCTV,Play Area,Garden",South-West,Agent,Ready to Move
13353,Gujarat,Ahmedabad,Ahmedabad Outskirts,Apartment,4,2273,171.77,7557.09,2011,Semi-Furnished,27,35,13,6,4,Medium,None,High,,South,Builder,Under Construction
13354,Gujarat,Ahmedabad,Ahmedabad Prime,Apartment,3,1592,211.76,13301.49,2006,Semi-Furnished,27,36,18,0,4,Medium,Single,Medium,"CCTV,Play Area,Swimming Pool,Club House,Lift,Power Backup,Garden",North,Builder,Resale
13355,Madhya Pradesh,Indore,Indore Suburban,Villa,3,1586,130.79,8246.29,1995,Semi-Furnished,26,33,29,4,1,Low,Single,Low,"CCTV,Visitor Parking,Swimming Pool,Gym",North-West,Agent,Ready to Move
13356,Karnataka,Bangalore,Bangalore Outskirts,Independent House,3,1254,202.97,16185.87,2008,Semi-Furnished,8,12,16,7,4,Low,None,Medium,"CCTV,Lift",North-West,Builder,Under Construction
13357,Maharashtra,Pune,Pune Suburban,Apartment,1,669,139.5,20851.44,1997,Fully Furnished,4,10,27,6,5,High,Single,High,"Garden,Gym,Intercom,Visitor Parking,CCTV,Club House,Lift",North-East,Agent,Under Construction
13358,Rajasthan,Jaipur,Jaipur Central,Apartment,3,1349,155.05,11493.68,2009,Semi-Furnished,14,22,15,7,1,Medium,Double,Low,"Garden,Play Area,Lift,Power Backup,Visitor Parking",South-East,Builder,Ready to Move
13359,Maharashtra,Mumbai,Mumbai Rural,Apartment,2,771,133.57,17324.81,1992,Unfurnished,2,5,32,4,4,Medium,Single,Medium,"Play Area,Swimming Pool,Visitor Parking,Gym,Power Backup,Garden",South-West,Owner,Resale
13360,Madhya Pradesh,Indore,Indore Outskirts,Apartment,1,679,43.08,6344.57,2020,Unfurnished,21,24,4,7,3,Low,None,Low,"Lift,Swimming Pool,Intercom,CCTV,Gym,Club House,Visitor Parking",East,Builder,Ready to Move
13361,Uttar Pradesh,Noida,Noida Outskirts,Apartment,5,2437,265.99,10914.77,1991,Fully Furnished,9,11,33,6,1,High,Single,Medium,"Play Area,Intercom,Swimming Pool",North,Builder,Resale
13362,Maharashtra,Mumbai,Mumbai Suburban,Apartment,1,648,183.45,28310.95,1990,Unfurnished,12,21,34,6,5,High,Single,Medium,"Intercom,Play Area,Power Backup,Visitor Parking",South-East,Owner,Under Construction
13363,Delhi,Delhi,Delhi Suburban,Apartment,4,2252,641.81,28499.75,1994,Semi-Furnished,20,29,30,7,5,Medium,Single,High,"Power Backup,Intercom",West,Agent,Ready to Move
13364,Gujarat,Ahmedabad,Ahmedabad Central,Apartment,2,1148,137.83,12006.21,1999,Fully Furnished,23,27,25,3,4,Low,Single,High,Gym,West,Owner,Ready to Move
13365,Tamil Nadu,Chennai,Chennai Rural,Villa,4,2135,248.37,11633.39,1999,Fully Furnished,9,18,25,0,1,High,None,High,"Visitor Parking,Lift,Intercom",South,Agent,Under Construction
13366,Maharashtra,Pune,Pune Rural,Studio,4,2531,231.88,9161.41,2014,Semi-Furnished,17,24,10,1,4,Low,Single,Medium,"Club House,Intercom,Swimming Pool,Visitor Parking,Gym,Lift",South-East,Agent,Ready to Move
13367,Uttar Pradesh,Noida,Noida Central,Villa,4,1781,363.32,20399.99,1994,Fully Furnished,5,7,30,6,3,Low,Single,High,"Gym,Intercom,Power Backup,Club House,Swimming Pool",South-East,Builder,Ready to Move
13368,Gujarat,Surat,Surat Suburban,Apartment,1,523,43.07,8235.6,1994,Fully Furnished,26,29,30,1,0,High,None,Medium,Swimming Pool,North-West,Owner,Ready to Move
13369,Delhi,Delhi,Delhi Suburban,Apartment,4,2820,640.67,22718.96,2005,Unfurnished,10,16,19,3,5,High,Single,Medium,"Club House,Visitor Parking",East,Builder,Ready to Move
13370,Uttar Pradesh,Noida,Noida Suburban,Apartment,2,901,99.72,11067.7,2004,Semi-Furnished,5,6,20,7,4,Medium,Single,Medium,"Intercom,Swimming Pool",North,Agent,Ready to Move
13371,Madhya Pradesh,Indore,Indore Outskirts,Villa,2,1320,102.52,7766.81,1991,Semi-Furnished,13,16,33,4,4,High,Double,Medium,"Garden,Power Backup",South-West,Agent,Under Construction
13372,Madhya Pradesh,Indore,Indore Suburban,Apartment,3,1487,120.14,8079.62,2022,Semi-Furnished,5,6,2,1,3,Medium,Single,Medium,"Garden,Gym,CCTV",North,Builder,Ready to Move
13373,Gujarat,Surat,Surat Prime,Apartment,4,1903,194.19,10204.35,2010,Fully Furnished,23,27,14,1,2,Low,Single,High,"Visitor Parking,Gym,Club House,Power Backup,CCTV",South-East,Agent,Under Construction
13374,Uttar Pradesh,Noida,Noida Outskirts,Apartment,3,1325,154.44,11656.0,2023,Semi-Furnished,29,30,1,5,3,High,Single,High,"Club House,Garden",South,Builder,Under Construction
13375,Telangana,Hyderabad,Hyderabad Rural,Penthouse,2,770,79.93,10380.78,1992,Semi-Furnished,3,9,32,2,1,Low,Single,Low,"Gym,CCTV,Play Area,Garden,Power Backup,Intercom",North,Agent,Under Construction
13376,Gujarat,Ahmedabad,Ahmedabad Prime,Villa,4,2317,330.01,14243.0,2000,Semi-Furnished,16,17,24,3,0,Low,Single,Medium,"Visitor Parking,Lift,Power Backup,CCTV,Swimming Pool,Intercom",South,Owner,Under Construction
13377,Tamil Nadu,Chennai,Chennai Outskirts,Villa,2,1165,148.28,12728.26,1995,Semi-Furnished,21,26,29,7,2,Low,None,Medium,Gym,South-West,Owner,Ready to Move
13378,Telangana,Hyderabad,Hyderabad Central,Apartment,3,1487,243.84,16398.09,1990,Unfurnished,14,22,34,3,0,Medium,Single,High,"Intercom,Swimming Pool",North-East,Owner,Under Construction
13379,Maharashtra,Mumbai,Mumbai Central,Apartment,4,1744,802.98,46042.41,2008,Fully Furnished,25,34,16,1,1,High,Single,High,"Play Area,Club House,Visitor Parking,Gym",South-East,Owner,Ready to Move
13380,Tamil Nadu,Chennai,Chennai Suburban,Apartment,4,1993,355.24,17824.32,2017,Semi-Furnished,9,12,7,6,4,High,Single,High,"Club House,Swimming Pool",North,Builder,Resale
13381,Uttar Pradesh,Noida,Noida Outskirts,Apartment,2,1144,130.82,11435.26,2003,Fully Furnished,19,20,21,4,0,Low,Single,Medium,"Intercom,Power Backup,CCTV,Club House,Play Area,Visitor Parking,Lift",South-East,Owner,Ready to Move
13382,Tamil Nadu,Chennai,Chennai Central,Apartment,3,1475,250.63,16991.85,2019,Semi-Furnished,26,28,5,6,2,Medium,Single,Medium,"Gym,Swimming Pool,Play Area,Club House",South-East,Owner,Ready to Move
13383,West Bengal,Kolkata,Kolkata Central,Penthouse,2,978,171.47,17532.94,1996,Fully Furnished,17,18,28,2,4,Medium,None,Medium,"Garden,Gym,Intercom",West,Builder,Resale
